# session 2026-07-29, g5.2xlarge us-east-1, on-demand $1.212/hr; box 12:48:53Z -> 16:32:10Z (3.72 h = $4.51 + EBS/IP ~$0.15)
arm,run,ts_utc,wall_min,usd_at_1.212
# 2026-07-29T12:54:55Z session-start g5.2xlarge
a10g-cal,run1,2026-07-29T13:04:13Z,8,0.16
a10g-base-cal,run1,2026-07-29T13:09:21Z,4,0.08
a10g-base,run1,2026-07-29T13:20:51Z,11,0.22
a10g-64k,run1,2026-07-29T13:31:18Z,9,0.18
a10g-96k,run1,2026-07-29T13:43:38Z,11,0.22
a10g-128k,run1,2026-07-29T13:59:24Z,15,0.30
a10g-128k,run2,2026-07-29T14:18:01Z,15,0.30
a10g-128k,run3,2026-07-29T14:29:08Z,10,0.20
a10g-128k,run3,2026-07-29T14:40:37Z,9,0.18
a10g-96k,run2,2026-07-29T14:53:38Z,11,0.22
a10g-96k,run3,2026-07-29T15:04:00Z,8,0.16
a10g-64k,run2,2026-07-29T15:14:06Z,9,0.18
a10g-64k,run3,2026-07-29T15:23:33Z,9,0.18
a10g-base-160k,run1,2026-07-29T15:32:46Z,1,0.02
a10g-160k,run1,2026-07-29T15:35:27Z,2,0.04
a10g-base-160k,run1,2026-07-29T15:41:41Z,9,0.18
a10g-160k,run1,2026-07-29T16:00:39Z,18,0.36
a10g-base-192k,run1,2026-07-29T16:05:02Z,2,0.04
a10g-192k,run1,2026-07-29T16:09:43Z,4,0.08
a10g-160k,run2,2026-07-29T16:23:17Z,13,0.26
